date,open_price,close_price,min_price,max_price,total_volume,7_day_MA,daily_return,volatility,VWAP,RSI
2023-09-25,1580.4777945863666,1580.4777945863666,1580.4777945863666,1580.4777945863666,4019151198.2509913,,,,,
2023-09-26,1588.4711834402021,1588.4711834402021,1588.4711834402021,1588.4711834402021,5882822941.20384,,0.005057577449816275,,,
2023-09-27,1592.4861256187212,1592.4861256187212,1592.4861256187212,1592.4861256187212,4739690827.753225,,0.002527551157600394,,,
2023-09-28,1597.4168102614992,1597.4168102614992,1597.4168102614992,1597.4168102614992,5727217120.031466,,0.003096218273714868,,,
2023-09-29,1652.196396535431,1652.196396535431,1652.196396535431,1652.196396535431,13122144914.120922,,0.034292606614653165,,,
2023-09-30,1667.9888487709648,1667.9888487709648,1667.9888487709648,1667.9888487709648,11095088769.99322,,0.009558459435361266,,,
2023-10-01,1670.9989557571496,1670.9989557571496,1670.9989557571496,1670.9989557571496,5460542606.6502695,1621.433730710048,0.0018046325599854196,,,
2023-10-02,1733.8180349156962,1733.8180349156962,1733.8180349156962,1733.8180349156962,8645520966.513845,1643.3394793285236,0.037593727358185225,0.015625934997294446,,
2023-10-03,1665.2764251106737,1665.2764251106737,1665.2764251106737,1665.2764251106737,14431074410.00186,1654.3116567100194,-0.039532181823425994,0.025543654560304264,,
2023-10-04,1656.3220030722484,1656.3220030722484,1656.3220030722484,1656.3220030722484,7250285380.42555,1663.431067774809,-0.0053771385359221435,0.025948360128070908,,
2023-10-05,1648.1933725281149,1648.1933725281149,1648.1933725281149,1648.1933725281149,8175156481.925116,1670.6848623843255,-0.004907639051498491,0.026267877409461023,,
2023-10-06,1612.9948892467298,1612.9948892467298,1612.9948892467298,1612.9948892467298,8787267282.127947,1665.0846470573683,-0.021355797121908826,0.0241842385127201,,
2023-10-07,1646.393402292886,1646.393402292886,1646.393402292886,1646.393402292886,8345308634.790774,1661.9995832747857,0.02070590134464312,0.025493919996789075,,
2023-10-08,1635.0828552489816,1635.0828552489816,1635.0828552489816,1635.0828552489816,3685199369.8299108,1656.8687117736185,-0.006869893324495058,0.02551272980029637,,58.56221058490021
2023-10-09,1634.2216551482747,1634.2216551482747,1634.2216551482747,1634.2216551482747,5142739595.525261,1642.64065752113,-0.0005267011992341475,0.01857308962956775,,58.40447372406477
2023-10-10,1580.1777604853462,1580.1777604853462,1580.1777604853462,1580.1777604853462,10498003428.260439,1630.4837054317973,-0.03307011291441064,0.0168397597084231,,48.86635015356027
